concept_id,formula_id,formula_name,latex,notation_plain,display_level,is_primary
chain_rule,form_chain_2,Leibniz Chain Rule,\frac{dy}{dx} = \frac{dy}{du} \cdot \frac{du}{dx},dy/dx = (dy/du)·(du/dx),1,false
trigonometric_functions,form_trig_sin,Sine Period,\sin(x + 2\pi) = \sin(x),sin(x + 2π) = sin(x),1,true
trigonometric_functions,form_trig_tan,Tangent Definition,\tan x = \frac{\sin x}{\cos x},tan x = sin x / cos x,1,false
trigonometric_derivatives,form_trig_dsin,Derivative of Sin,\frac{d}{dx}[\sin x] = \cos x,d/dx[sin x] = cos x,1,true
trigonometric_derivatives,form_trig_dcos,Derivative of Cos,\frac{d}{dx}[\cos x] = -\sin x,d/dx[cos x] = −sin x,1,false
trigonometric_derivatives,form_trig_dtan,Derivative of Tan,\frac{d}{dx}[\tan x] = \sec^2 x,d/dx[tan x] = sec²x,2,false
exponential_functions,form_exp_deriv,Exponential Derivative,\frac{d}{dx}[e^x] = e^x,d/dx[eˣ] = eˣ,1,true
exponential_functions,form_exp_gen,General Exponential,\frac{d}{dx}[a^x] = a^x \ln a,d/dx[aˣ] = aˣ·ln a,2,false
logarithmic_functions,form_ln_deriv,Natural Log Derivative,\frac{d}{dx}[\ln x] = \frac{1}{x},d/dx[ln x] = 1/x,1,true
logarithmic_functions,form_log_gen,Log Differentiation,\frac{d}{dx}[\log_a x] = \frac{1}{x \ln a},d/dx[log_a x] = 1/(x·ln a),2,false
implicit_differentiation,form_implicit_1,Implicit Diff (y²),\frac{d}{dx}[y^2] = 2y\frac{dy}{dx},d/dx[y²] = 2y·(dy/dx),1,true
related_rates,form_rr_ladder,Pythagorean Rate,2x\frac{dx}{dt} + 2y\frac{dy}{dt} = 0,2x·(dx/dt) + 2y·(dy/dt) = 0,1,true
related_rates,form_rr_volume_sphere,Sphere Volume Rate,\frac{dV}{dt} = 4\pi r^2 \frac{dr}{dt},dV/dt = 4πr²·(dr/dt),2,false
critical_points,form_cp_1,Critical Point Condition,f'(c) = 0 \text{ or } f'(c) \text{ undefined},f'(c) = 0  or  f'(c) undefined,1,true
second_derivative_test,form_sdt_1,Second Derivative Test,f''(c) > 0 \Rightarrow \text{min} \quad f''(c) < 0 \Rightarrow \text{max},f''(c) > 0 → min;  f''(c) < 0 → max,1,true
optimization,form_opt_critical,Optimisation Condition,\frac{df}{dx} = 0 \Rightarrow \text{candidate extremum},df/dx = 0 → candidate extremum,1,true
curve_sketching,form_cs_inflection,Inflection Point,f''(x) = 0 \text{ and sign of } f'' \text{ changes},f''(x) = 0 and sign of f'' changes,1,true
integration,form_int_basic,Power Integration,\int x^n dx = \frac{x^{n+1}}{n+1} + C,∫xⁿ dx = xⁿ⁺¹/(n+1) + C,1,true
indefinite_integrals,form_indef_1,Indefinite Integral,\int f(x)dx = F(x) + C \text{ where } F'(x) = f(x),∫f(x)dx = F(x) + C  where F'(x)=f(x),1,true
definite_integrals,form_def_1,Definite Integral,\int_a^b f(x)dx = F(b) - F(a),∫[a→b] f(x)dx = F(b) − F(a),1,true
substitution,form_sub_1,U-Substitution,\int f(g(x))g'(x)dx = \int f(u)du,∫f(g(x))g'(x)dx = ∫f(u)du,1,true
integration_by_parts,form_ibp_1,Integration by Parts,"\int u \, dv = uv - \int v \, du",∫u dv = uv − ∫v du,1,true
fundamental_theorem,form_ftc_1,FTC Part 1,\frac{d}{dx}\left[\int_a^x f(t)dt\right] = f(x),d/dx[∫ₐˣ f(t)dt] = f(x),1,true
fundamental_theorem,form_ftc_2,FTC Part 2,\int_a^b f(x)dx = F(b) - F(a),∫[a→b] f(x)dx = F(b) − F(a),1,false
area_between_curves,form_area_1,Area Between Curves,A = \int_a^b |f(x) - g(x)| dx,A = ∫[a→b] |f(x)−g(x)| dx,1,true
volume_revolution,form_vol_disk,Disk Method,V = \pi \int_a^b [f(x)]^2 dx,V = π·∫[a→b] [f(x)]² dx,1,true
volume_revolution,form_vol_shell,Shell Method,V = 2\pi \int_a^b x \cdot f(x) dx,V = 2π·∫[a→b] x·f(x) dx,2,false
sequences_series,form_seq_1,Geometric Series Sum,S = \frac{a}{1-r} \text{ for } |r| < 1,S = a/(1−r) for |r|<1,1,true
sequences_series,form_seq_2,nth Term Test,\text{If } \lim_{n\to\infty} a_n \neq 0 \text{ then } \sum a_n \text{ diverges},If lim(n→∞) aₙ ≠ 0 then Σaₙ diverges,2,false
convergence_tests,form_conv_ratio,Ratio Test,L = \lim_{n\to\infty}\left|\frac{a_{n+1}}{a_n}\right| \quad L < 1 \Rightarrow \text{converges},L = lim|aₙ₊₁/aₙ|  L<1 → converges,1,true
taylor_series,form_taylor_1,Taylor Series,f(x) = \sum_{n=0}^{\infty} \frac{f^{(n)}(a)}{n!}(x-a)^n,f(x) = Σ[f⁽ⁿ⁾(a)/n!]·(x−a)ⁿ,1,true
taylor_series,form_taylor_ex,e^x Maclaurin,e^x = \sum_{n=0}^{\infty} \frac{x^n}{n!} = 1 + x + \frac{x^2}{2!} + \cdots,eˣ = 1 + x + x²/2! + x³/3! + …,2,false
partial_derivatives,form_partial_1,Partial Derivative,"\frac{\partial f}{\partial x}\bigg|_y = \lim_{h\to 0}\frac{f(x+h,y)-f(x,y)}{h}","∂f/∂x|y = lim[f(x+h,y)−f(x,y)]/h",1,true
partial_derivatives,form_gradient,Gradient Vector,"\nabla f = \left(\frac{\partial f}{\partial x},\frac{\partial f}{\AA y}\right)","∇f = (∂f/∂x, ∂f/∂y)",2,false
multiple_integrals,form_double_1,Double Integral,"\iint_R f(x,y)\,dA = \int_a^b\int_c^d f(x,y)\,dy\,dx","∬_R f(x,y)dA = ∫∫f(x,y)dy dx",1,true
vector_calculus,form_div_1,Divergence,\nabla \cdot \mathbf{F} = \frac{\partial F_x}{\partial x} + \frac{\partial F_y}{\partial y} + \frac{\partial F_z}{\partial z},∇·F = ∂Fx/∂x + ∂Fy/∂y + ∂Fz/∂z,1,true
vector_calculus,form_curl_1,Curl,\nabla \times \mathbf{F},∇×F,2,false
